Aquatic body name,Cross-sectional name,Cross-sectional code,month,pH,dissolved oxygen,Potassium monate index,Biochemical oxygen demand,Ammonia nitrogen,Total phosphorus,Total nitrogen,copper,zinc,fluoride,selenium,arsenic,mercury,cadmium,Hexavalent chromium,lead,cyanide,Volatile phenols,Petroleum,Anionic surfactants,sulfide,Chlorophyll,transparency,Eutrophic index,Eutrophication,Chemical oxygen demand
Hongze Lake,Chenghe Township,52,1,8.2,12.2,5.2,2.7,0.27,0.16,2,0.0005,0.025,0.6,0.0002,0.0031,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.01,0.03,0.008,0.008,25,59.1,Light rich,14
Hongze Lake,Chenghe Township,52,2,8.5,13.2,3.2,2.8,0.45,0.08,2.5,0.0005,0.025,0.64,0.0002,0.0112,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.01,0.03,0.009,0.019,30,57.2,Light rich,10
Hongze Lake,Chenghe Township,52,3,8.4,9.9,4.2,2.8,0.16,0.19,1.4,0.0005,0.02,0.6,0.0002,0.002,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.01,0.02,0.009,0.003,30,54.1,Light rich,14
Hongze Lake,Chenghe Township,52,4,8.4,8.5,4.3,2.7,0.49,0.18,1.9,0.0005,0.02,0.51,0.0002,0.0024,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.02,0.02,0.014,0.006,36,56.4,Light rich,17
Hongze Lake,Chenghe Township,52,5,8.5,8.1,3.4,2.5,0.32,0.1,2.1,0.0005,0.02,0.51,0.0002,0.0018,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.01,0.02,0.014,0.005,37,53,Light rich,12
Hongze Lake,Chenghe Township,52,6,8.2,7,3.6,2.2,0.19,0.06,1.4,0.0005,0.02,0.58,0.0002,0.0025,0.00002,0.00005,0.002,0.001,0.001,0.0002,0.01,0.02,0.014,0.003,46,48.3,Medium nutrition,10
Hongze Lake,Chenghe Township,52,7,8.3,7.3,5.5,1.4,0.29,0.13,1.8,0.008,0.04,0.74,0.0004,0.0048,0.00002,0.00002,0.002,0.002,0.002,0.0015,0.01,0.02,0.012,0.015,27,60,Light rich,18
Hongze Lake,Chenghe Township,52,8,8.4,6.8,4.2,2.1,0.1,0.12,1.5,0.006,0.01,0.61,0.0006,0.0074,0.00002,0.00002,0.002,0.001,0.002,0.0002,0.01,0.02,0.002,0.014,70,54.3,Light rich,16
Hongze Lake,Chenghe Township,52,9,8.2,6.6,5,1.2,0.18,0.14,1.8,0.002,0.003,0.46,0.0005,0.0121,0.00002,0.00002,0.002,0.001,0.002,0.0003,0.01,0.02,0.002,0.01,46,56.7,Light rich,16
Hongze Lake,Chenghe Township,52,10,8.2,8.6,4.1,1.7,0.26,0.12,1.9,0.001,0.0004,0.6,0.0002,0.0064,0.00002,0.00002,0.002,0.00004,0.002,0.0002,0.01,0.02,0.002,0.012,52,55.6,Light rich,16
Hongze Lake,Chenghe Township,52,11,8.07,8.9,4.9,1.5,0.1,0.2,1.4,0.00818,0.0294,0.658,0.0004,0.0056,0.00004L,0.00005L,0.004L,0.00192,0.004L,0.0003L,0.01L,0.05L,0.005,0.013,30,,,1
Hongze Lake,Chenghe Township,52,12,7.94,10.6,3.1,3.2,0.11,0.05,1.1,0.0028,0.0227,0.54,0.0004L,0.0013,0.00004L,0.00005L,0.004L,0.0105,0.004L,0.0004,0.01L,0.05L,0.005L,0.005,51,,,19
