Cross-sectional name,region,month,target,status quo,Whether the standard is met,pH,dissolved oxygen,Potassium monate index,Biochemical oxygen demand,Ammonia nitrogen,Petroleum,Volatile phenols,mercury,lead,Total phosphorus,copper,zinc,fluoride,selenium,arsenic,cadmium,Hexavalent chromium,cyanide,Anionic surfactants,sulfide,Chemical oxygen demand
Linhuai Township,Sihong County,1,4,4,1,8.46,11.2,3.8,3.3,0.21,0.03,0.0017,0.00002,0.0004,0.06,0.0005,0.01,0.43,0.0002,0.0022,0.00002,0.002,0.002,0.02,0.002,15
Linhuai Township,Sihong County,2,4,3,1,8.4,13,4.2,2.7,0.14,0.02,0.0002,0.00002,0.001,0.05,0.002,0.02,0.6,0.0002,0.0027,0.00002,0.002,0.002,0.02,0.002,16
Linhuai Township,Sihong County,3,4,3,1,7.89,12.4,3.5,2.8,0.09,0.02,0.0018,0.00001,0.00011,0.05,0.00296,0.0124,0.68,0.0009,0.0013,0.00003,0.002,0.002,0.025,0.0025,18
Linhuai Township,Sihong County,4,4,5,0,8.79,9.8,5.2,1,0.15,0.005,0.00015,0.00002,0.00017,0.15,0.0018,0.0048,0.584,0.0005,0.0046,0.00003,0.002,0.002,0.025,0.0025,14
Linhuai Township,Sihong County,5,4,4,1,8.6,9.4,3.5,3,0.16,0.02,0.005,0.00002,0.00005,0.06,0.00212,0.0334,0.38,0.0002,0.0022,0.00003,0.002,0.002,0.025,0.0025,19
Linhuai Township,Sihong County,6,4,4,1,8.22,8.2,3.3,3,0.09,0.005,0.0011,0.00007,0.00005,0.06,0.0034,0.009,0.85,0.0002,0.00175,0.00003,0.002,0.002,0.025,0.0025,14
Linhuai Township,Sihong County,7,4,5,0,8.44,8.9,6.7,3.8,0.09,0.005,0.00015,0.00002,0.00005,0.12,0.00167,0.00035,0.841,0.0006,0.0084,0.00003,0.002,0.002,0.025,0.0025,20
Linhuai Township,Sihong County,8,4,5,0,8.29,7.8,5.8,1.9,0.1,0.02,0.00015,0.00002,0.00056,0.19,0.0035,0.0175,0.972,0.001,0.0127,0.00003,0.002,0.002,0.025,0.006,13
Linhuai Township,Sihong County,9,4,5,0,8.31,8.1,5.1,2.5,0.32,0.005,0.0022,0.00001,0.00005,0.12,0.00311,0.0186,0.89,0.0002,0.0071,0.00003,0.002,0.002,0.025,0.0025,19
Linhuai Township,Sihong County,10,4,5,0,8.2,9,4.6,2.9,0.08,0.005,0.0024,0.00001,0.00031,0.15,0.00206,0.0554,0.54,0.0004,0.0048,0.00003,0.002,0.002,0.025,0.0025,19
Linhuai Township,Sihong County,11,4,3,1,8.25,8,3.6,2.9,0.08,0.01,0.0007,0.00002,0.00005,0.05,0.00141,0.0632,0.86,0.0002,0.004,0.00008,0.002,0.002,0.025,0.0025,12
Linhuai Township,Sihong County,12,4,2,1,8.48,11.7,3.9,2.8,0.09,0.005,0.0018,0.00002,0.00144,0.005,0.00181,0.0534,0.6,0.0002,0.002,0.00003,0.002,0.002,0.025,0.0025,13
Chenghe Township,Sihong County,1,4,4,1,8.47,12.6,3.6,2.7,0.18,0.03,0.0018,0.00003,0.002,0.07,0.001,0.01,0.41,0.0002,0.0024,0.00002,0.002,0.002,0.02,0.002,14
Chenghe Township,Sihong County,2,4,3,1,8.51,12.8,3.2,2.4,0.11,0.03,0.0002,0.00002,0.019,0.05,0.002,0.02,0.6,0.0004,0.0022,0.00002,0.002,0.002,0.02,0.002,14
Chenghe Township,Sihong County,3,4,3,1,7.72,11.8,4,2.9,0.06,0.005,0.00015,0.00002,0.005,0.04,0.00198,0.025,0.616,0.0002,0.0023,0.00003,0.002,0.002,0.025,0.0025,14
Chenghe Township,Sihong County,4,4,5,0,8.73,9.9,4.9,1,0.13,0.005,0.00015,0.00002,0.00031,0.15,0.0129,0.0118,0.527,0.0004,0.004,0.00003,0.002,0.002,0.025,0.0025,16
Chenghe Township,Sihong County,5,4,4,1,8.5,9.2,3.1,2.8,0.13,0.005,0.0033,0.00009,0.00005,0.07,0.00315,0.0372,0.39,0.0002,0.002,0.00003,0.002,0.002,0.025,0.0025,20
Chenghe Township,Sihong County,6,4,3,1,8.42,7.8,3,3.1,0.08,0.03,0.002,0.00001,0.00005,0.05,0.00305,0.0467,0.72,0.0002,0.00165,0.00003,0.002,0.002,0.025,0.0025,13
Chenghe Township,Sihong County,7,4,4,1,8.31,7.4,3,1.4,0.06,0.005,0.00015,0.00002,0.00005,0.08,0.00206,0.0026,0.601,0.0007,0.0046,0.00003,0.002,0.002,0.025,0.0025,16
Chenghe Township,Sihong County,8,4,5,0,8.23,7.9,4.7,2,0.07,0.005,0.00015,0.00002,0.00019,0.19,0.00368,0.0038,0.788,0.0012,0.0107,0.00003,0.002,0.002,0.025,0.0025,14
Chenghe Township,Sihong County,9,4,3,1,8.07,7.3,4.2,1.5,0.17,0.005,0.00015,0.00002,0.00021,0.05,0.00129,0.0016,0.749,0.0002,0.0033,0.00003,0.002,0.002,0.025,0.0025,15
Chenghe Township,Sihong County,10,4,5,0,8.34,9.4,3.9,3,0.32,0.005,0.0027,0.00001,0.0205,0.15,0.00258,0.0248,0.5,0.0002,0.0085,0.00003,0.002,0.002,0.025,0.0025,20
Chenghe Township,Sihong County,11,4,4,1,7.77,8.3,4.8,2,0.08,0.05,0.00015,0.00002,0.00009,0.1,0.00225,0.0016,0.69,0.00055,0.0057,0.00003,0.002,0.002,0.025,0.0025,14
Chenghe Township,Sihong County,12,4,3,1,8.42,11.9,3.5,2.8,0.1,0.005,0.0013,0.00002,0.00005,0.05,0.0008,0.0167,0.54,0.0002,0.0035,0.00006,0.002,0.002,0.025,0.0025,13
North of Longji Town,Sihong County,1,4,3,1,8.49,12.6,4.8,0.9,0.07,0.02,0.0002,0.00002,0.011,0.03,0.02,0.004,0.65,0.0004,0.0022,0.00002,0.002,0.002,0.02,0.002,15
North of Longji Town,Sihong County,2,4,3,1,8.37,12.6,4.9,2.2,0.14,0.03,0.0002,0.00002,0.001,0.03,0.001,0.02,0.66,0.0002,0.0016,0.00002,0.002,0.002,0.02,0.002,15
North of Longji Town,Sihong County,3,4,3,1,8.47,11.8,3.7,2.8,0.22,0.005,0.00015,0.00002,0.004,0.04,0.00183,0.025,0.522,0.0002,0.002,0.00003,0.002,0.002,0.025,0.0025,14
North of Longji Town,Sihong County,4,4,4,1,8.3,9.6,4.8,0.8,0.14,0.005,0.00015,0.00002,0.00026,0.1,0.00198,0.0052,0.638,0.0005,0.0026,0.00003,0.002,0.002,0.025,0.0025,15
North of Longji Town,Sihong County,5,4,4,1,8.36,9.2,3.2,3.2,0.15,0.005,0.004,0.00001,0.00005,0.07,0.00412,0.0275,0.44,0.0002,0.0012,0.00003,0.002,0.002,0.025,0.0025,13
